CustomerID,NextPurchaseDay,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value,NextPurchaseDayRange
17243,10,8,3,22,2,5445.16,0,5,1,0,0,1
18109,25,2,3,25,2,6063.77,0,5,1,0,0,1
16923,36,29,3,21,2,4607.32,0,5,1,0,0,0
13668,42,29,3,23,2,5212.72,0,5,1,0,0,0
14180,32,21,3,26,2,3991.27,0,5,1,0,0,0
14796,51,37,3,20,2,5270.88,0,5,1,0,0,0
13050,38,30,3,20,2,3687.01,0,5,1,0,0,0
14667,7,4,3,19,2,6297.43,0,5,1,0,0,1
13267,38,27,3,20,2,3061.56,0,5,1,0,0,0
13102,14,11,3,20,2,4450.83,0,5,1,0,0,1
17757,4,0,3,21,2,3534.11,0,5,1,0,0,1
15465,15,11,3,20,2,5140.98,0,5,1,0,0,1
15005,21,8,3,30,2,5078.33,0,5,1,0,0,1
15290,37,9,3,20,2,6293.41,0,5,1,0,0,0
13468,6,4,3,31,2,4054.61,0,5,1,0,0,1
13199,53,33,3,29,2,5857.24,0,5,1,0,0,0
13534,41,24,3,38,2,4803.54,0,5,1,0,0,0
14735,56,11,3,29,2,4646.69,0,5,1,0,0,0
18223,5,2,3,24,2,4953.47,0,5,1,0,0,1
17315,10,5,3,37,2,4923.8,0,5,1,0,0,1
17961,34,0,3,33,2,1107.34,0,5,1,0,0,0
15358,5,2,3,21,2,5739.4,0,5,1,0,0,1
18198,300,1,3,21,2,5083.06,0,5,1,0,0,0
14688,5,0,3,20,2,4059.3,0,5,1,0,0,1
13263,19,0,3,25,2,5708.09,0,5,1,0,0,1
17811,4,3,3,34,2,5306.41,0,5,1,0,0,1
14534,32,27,3,19,2,3365.8,0,5,1,0,0,0
18172,16,8,3,21,2,6429.51,0,5,1,0,0,1
14056,17,14,3,22,2,6276.94,0,5,1,0,0,1
16729,6,0,3,23,2,5829.47,0,5,1,0,0,1
14849,76,71,2,19,2,5388.83,0,4,0,0,1,0
14800,28,5,3,12,1,3292.41,0,4,0,0,1,1
14159,29,11,3,11,1,3132.96,0,4,0,0,1,1
16011,12,1,3,12,1,2414.87,0,4,0,0,1,1
15547,16,12,3,11,1,3982.98,0,4,0,0,1,1
15044,6,5,3,15,1,4597.61,0,4,0,0,1,1
17937,300,44,3,7,1,4301.22,0,4,0,0,1,0
14505,44,39,3,9,1,4475.75,0,4,0,0,1,0
13209,300,19,3,11,1,5820.16,0,4,0,0,1,0
17790,22,20,3,8,1,1128.1,0,4,0,0,1,1
12747,87,39,3,9,1,3524.72,0,4,0,0,1,0
13069,35,18,3,17,1,2617.37,0,4,0,0,1,0
13999,58,16,3,13,1,3140.86,0,4,0,0,1,0
15854,300,16,3,12,1,2974.65,0,4,0,0,1,0
15555,66,8,3,15,1,3307.03,0,4,0,0,1,0
17338,97,44,3,7,1,4415.47,0,4,0,0,1,0
14085,52,27,3,15,1,3558.38,0,4,0,0,1,0
17611,30,2,3,17,1,3546.57,0,4,0,0,1,1
13269,44,39,3,9,1,3232.82,0,4,0,0,1,0
15867,1,0,3,12,1,3011.12,0,4,0,0,1,1
